fiscal_year,total_revenue,total_expenses,total_assets,net_assets
2012,22373,119834,50836,50836
2013,209795,172150,88481,88481
2014,227052,184366,133301,131167
2015,266020,231023,174200,166164
2016,222019,205565,190708,182618
2017,195032,199380,197952,178270
2018,218497,204595,201989,192172
2019,244363,202305,251820,234231
2020,348242,292242,321285,290231
2021,323262,216757,408721,396736
2022,243146,234193,418561,405689
2023,412899,354517,477727,472043
2024,306401,347973,447186,430468
2025,353610,326368,459784,457710
